Name,Platform,Year_of_Release,Genre,NA_sales,EU_sales,JP_sales,Other_sales,Critic_Score,User_Score,Rating
Coded Arms,PSP,2005.0,Shooter,0.28,0.29,0.0,0.17,59.0,6.5,T
Final Fantasy Tactics A2: Grimoire of the Rift,DS,2007.0,Role-Playing,0.38,0.03,0.3,0.04,80.0,6.9,E10+
Jump Ultimate Stars,DS,2006.0,Fighting,0.0,0.0,0.74,0.0,,,
Jampack Summer 2001,PS2,2001.0,Misc,0.36,0.28,0.0,0.1,,,
The Lord of the Rings: Conquest,PS3,2009.0,Action,0.38,0.25,0.0,0.11,54.0,7.1,T
Band Hero,PS3,2009.0,Misc,0.41,0.23,0.0,0.11,76.0,5.7,E10+
Burnout,PS2,2001.0,Racing,0.36,0.28,0.0,0.1,79.0,7.7,E
Spectrobes,DS,2007.0,Role-Playing,0.66,0.02,0.0,0.06,63.0,7.9,E
Rhythm Heaven: The Best+,3DS,2015.0,Misc,0.0,0.03,0.72,0.0,,,
Yu-Gi-Oh! Dungeon Dice Monsters,GBA,2001.0,Misc,0.42,0.16,0.15,0.01,,,
The Godfather II,PS3,2009.0,Action,0.41,0.21,0.01,0.1,67.0,7.2,M
Mortal Kombat: Unchained,PSP,2006.0,Fighting,0.67,0.01,0.0,0.06,70.0,8.8,M
Need for Speed: Shift,PSP,2009.0,Racing,0.16,0.37,0.01,0.21,69.0,6.5,E
Dark Souls II,X360,2014.0,Role-Playing,0.48,0.18,0.01,0.07,91.0,7.9,T
Sega Superstars Tennis,DS,2008.0,Sports,0.29,0.37,0.0,0.08,65.0,tbd,E
Assassin's Creed: Revelations,PC,2011.0,Action,0.14,0.48,0.0,0.12,80.0,7.4,M
Final Fantasy X/X-2 HD Remaster,PS4,2015.0,Role-Playing,0.29,0.27,0.06,0.11,,,
[Prototype 2],PS3,2012.0,Action,0.36,0.28,0.0,0.1,79.0,6.8,M
Midnight Club 3: DUB Edition,XB,2005.0,Racing,0.61,0.1,0.0,0.03,84.0,7.4,E10+
Resident Evil: Revelations,PS3,2013.0,Action,0.14,0.29,0.22,0.09,74.0,7.2,M
Tom Clancy's Rainbow Six: Vegas,PSP,2007.0,Shooter,0.42,0.19,0.0,0.13,60.0,7.1,T
The Lord of the Rings: The Two Towers,GBA,2002.0,Action,0.53,0.2,0.0,0.01,,,
Tiger Woods PGA Tour 2001,PS2,2001.0,Sports,0.36,0.28,0.0,0.09,74.0,tbd,E
Dragon Quest Heroes: The World's Tree Woe and the Blight Below,PS4,2015.0,Action,0.17,0.13,0.37,0.06,,,
Red Faction: Guerrilla,PS3,2009.0,Shooter,0.33,0.27,0.02,0.12,85.0,8.1,M
The Elder Scrolls V: Skyrim,XOne,2016.0,Role-Playing,0.41,0.27,0.0,0.07,,,
Jet Moto 3,PS,1999.0,Racing,0.41,0.28,0.0,0.05,,,
Ace Combat: Assault Horizon,PS3,2011.0,Action,0.3,0.15,0.22,0.07,77.0,6.7,T
X-Men Origins: Wolverine - Uncaged Edition,PS3,2009.0,Action,0.31,0.31,0.0,0.12,,,
Unreal Championship,XB,2002.0,Shooter,0.59,0.12,0.0,0.03,83.0,8.2,M
WarioWare: Twisted!,GBA,,Puzzle,0.16,0.06,0.5,0.02,,,
Lego Batman 3: Beyond Gotham,PS3,2014.0,Action,0.33,0.28,0.0,0.12,,6.7,E10+
Crysis 2,PC,2011.0,Action,0.16,0.45,0.0,0.13,86.0,6.8,M
Tales of Vesperia,X360,2008.0,Role-Playing,0.32,0.17,0.19,0.05,79.0,8.2,T
MLB 13: The Show,PS3,2013.0,Sports,0.67,0.0,0.0,0.07,87.0,7.8,E
LEGO Marvel Super Heroes,WiiU,2013.0,Action,0.31,0.35,0.02,0.06,82.0,8,E10+
Namco Museum Remix,Wii,2007.0,Misc,0.68,0.0,0.0,0.05,49.0,6.3,E
NBA 2K16,PS3,2015.0,Sports,0.45,0.12,0.03,0.13,,4.6,E
Sword of Mana,GBA,2003.0,Role-Playing,0.31,0.11,0.3,0.02,72.0,8.3,E
FIFA 17,PS3,2016.0,Sports,0.05,0.55,0.03,0.1,,3.3,E
Marvel: Ultimate Alliance 2,PS3,2009.0,Role-Playing,0.49,0.15,0.0,0.09,74.0,7.3,T
Dragon Age: Inquisition,PC,2014.0,Role-Playing,0.33,0.34,0.0,0.06,85.0,5.9,M
Resonance of Fate,PS3,2010.0,Role-Playing,0.2,0.21,0.24,0.08,72.0,8,T
Madagascar: Escape 2 Africa,DS,2008.0,Action,0.41,0.25,0.0,0.07,55.0,tbd,E
Pirates of the Caribbean: At World's End,PS3,2007.0,Action,0.17,0.41,0.0,0.15,55.0,6.9,T
FIFA: Road to World Cup 98,PS,1997.0,Sports,0.14,0.09,0.46,0.05,,,
The Amazing Spider-Man (Console Version),X360,2012.0,Action,0.43,0.24,0.0,0.06,,,
Dragon Ball Z: Ultime Menace,SNES,1993.0,Fighting,0.0,0.0,0.73,0.0,,,
The Walking Dead: Season One,X360,2012.0,Adventure,0.55,0.13,0.0,0.05,,,
Tiger Woods PGA Tour 08,PS3,2007.0,Sports,0.22,0.37,0.0,0.14,79.0,6.6,E
Classic NES Series: Donkey Kong,GBA,2004.0,Platform,0.4,0.15,0.17,0.01,55.0,4.8,E
Harvest Moon: Animal Parade,Wii,2008.0,Simulation,0.58,0.08,0.02,0.05,76.0,8.9,E
Split/Second,PS3,2010.0,Racing,0.31,0.3,0.01,0.11,,,
Yoshi,GB,1991.0,Puzzle,0.0,0.0,0.73,0.0,,,
Mortal Kombat 4,N64,1998.0,Fighting,0.55,0.17,0.0,0.01,,,
WWE SmackDown vs. Raw 2010,Wii,2009.0,Fighting,0.49,0.17,0.0,0.06,78.0,7.7,T
Style Savvy: Trendsetters,3DS,2012.0,Simulation,0.16,0.02,0.53,0.01,76.0,8,E
Croc 2,PS,1999.0,Platform,0.41,0.28,0.0,0.05,,,
Final Fantasy XIII-2,X360,2011.0,Role-Playing,0.36,0.29,0.02,0.06,79.0,6.3,T
Practise English!,DS,2007.0,Misc,0.0,0.0,0.73,0.0,,,
Oddworld: Munch's Oddysee,XB,2001.0,Platform,0.54,0.16,0.0,0.03,80.0,8.7,T
Persona 4: Arena,PS3,2012.0,Fighting,0.3,0.11,0.24,0.07,86.0,7.7,T
Berzerk,2600,1981.0,Shooter,0.68,0.04,0.0,0.01,,,
Brink,PS3,2011.0,Shooter,0.29,0.32,0.01,0.12,72.0,5.8,T
NHL 11,X360,2010.0,Sports,0.61,0.07,0.0,0.05,88.0,7.7,E10+
NCAA Football 07,X360,2006.0,Sports,0.67,0.0,0.0,0.06,79.0,6.9,E
Just Dance Wii,Wii,2011.0,Misc,0.0,0.0,0.73,0.0,,,
Full Spectrum Warrior,XB,2004.0,Strategy,0.54,0.16,0.0,0.03,84.0,8.7,M
LEGO Marvel's Avengers,PS4,2016.0,Action,0.26,0.35,0.0,0.12,71.0,7,E10+
Katamari Damacy,PS2,2004.0,Puzzle,0.47,0.02,0.17,0.08,86.0,9,E
Just Dance 2015,WiiU,2014.0,Misc,0.38,0.29,0.0,0.06,75.0,6.6,E10+
Beyblade VForce: Ultimate Blader Jam,GBA,2003.0,Action,0.52,0.19,0.0,0.01,,tbd,E
LEGO Dimensions,PS4,2015.0,Action,0.24,0.37,0.0,0.12,80.0,7.1,E10+
Naruto Shippuden: Ultimate Ninja Storm Generations,PS3,2012.0,Fighting,0.27,0.24,0.14,0.08,74.0,7.1,T
Shaun Palmer's Pro Snowboarder,PS2,2001.0,Sports,0.36,0.28,0.0,0.09,64.0,8.7,E
James Bond 007: Agent Under Fire,GC,2002.0,Shooter,0.56,0.15,0.0,0.02,74.0,6.8,T
Harvest Moon DS: Island of Happiness,DS,2007.0,Simulation,0.43,0.01,0.25,0.04,65.0,7,E
Star Wars Episode III: Revenge of the Sith,GBA,2005.0,Action,0.52,0.19,0.0,0.01,73.0,7.5,E10+
Ultimate Spider-Man,PS2,2005.0,Action,0.6,0.02,0.0,0.1,74.0,7.9,T
Monopoly Streets,Wii,2010.0,Misc,0.23,0.42,0.0,0.08,65.0,5.2,E
Imagine: Interior Designer,DS,2008.0,Simulation,0.34,0.31,0.0,0.08,,tbd,E
Ratchet & Clank Collection,PS3,2012.0,Action,0.47,0.13,0.02,0.1,,,
SD Gundam G Generation,PS,1998.0,Strategy,0.0,0.0,0.67,0.05,,,
Rabbids Go Home,DS,2009.0,Platform,0.35,0.3,0.0,0.07,70.0,tbd,E
God Eater,PSP,2010.0,Action,0.0,0.0,0.72,0.0,,,
Area 51,PS,1996.0,Shooter,0.4,0.27,0.0,0.05,,,
Total War: Rome II,PC,2013.0,Strategy,0.12,0.53,0.0,0.07,76.0,4.2,T
NBA Live 08,PS2,2007.0,Sports,0.59,0.02,0.01,0.1,68.0,6.6,E
Star Ocean: The Last Hope International,PS3,2010.0,Role-Playing,0.28,0.15,0.22,0.07,74.0,6.7,T
Dead to Rights,XB,2002.0,Shooter,0.53,0.17,0.0,0.03,73.0,8.9,M
Indiana Jones and the Staff of Kings,Wii,2009.0,Action,0.36,0.29,0.0,0.07,55.0,7,T
Tiger Woods PGA Tour 07,PS2,2006.0,Sports,0.6,0.02,0.0,0.1,79.0,6,E
My Little Pony: Pinkie Pie's Party,DS,2008.0,Adventure,0.66,0.0,0.0,0.06,,0,E
Test Drive 6,PS,1999.0,Racing,0.4,0.27,0.0,0.05,,,
Major League Baseball 2K7,X360,2007.0,Sports,0.67,0.0,0.0,0.06,79.0,7.1,E
Kouchuu Ouja Mushi King,GBA,2005.0,Action,0.0,0.0,0.7,0.02,,,
Persona Q: Shadow of the Labyrinth,3DS,2014.0,Role-Playing,0.34,0.07,0.27,0.04,83.0,8.1,M
MLB 14: The Show,PS4,2014.0,Sports,0.58,0.0,0.0,0.14,83.0,7.7,E
X-Men: Mutant Academy 2,PS,2001.0,Fighting,0.4,0.27,0.0,0.05,72.0,8.4,T
Kirby: Canvas Curse,DS,2005.0,Platform,0.36,0.0,0.32,0.03,86.0,8.2,E
Jampack Winter 2001,PS2,2001.0,Misc,0.35,0.28,0.0,0.09,,tbd,
Kangaroo,2600,1982.0,Platform,0.67,0.04,0.0,0.01,,,
Madden NFL 10,Wii,2009.0,Sports,0.62,0.04,0.0,0.06,77.0,7.2,E
MLB 09: The Show,PS3,2009.0,Sports,0.66,0.0,0.0,0.06,90.0,8.1,E
Borderlands: The Pre-Sequel,X360,2014.0,Shooter,0.46,0.19,0.01,0.07,74.0,6.4,M
Disney Infinity 3.0,PS4,2015.0,Action,0.24,0.37,0.0,0.12,,,
Madden NFL 11,Wii,,Sports,0.68,0.0,0.0,0.04,75.0,5.4,E
Super Monkey Ball Jr.,GBA,2002.0,Puzzle,0.51,0.19,0.0,0.01,82.0,8.6,E
The Witcher 3: Wild Hunt,PC,2015.0,Role-Playing,0.21,0.46,0.0,0.05,93.0,9.3,M
F1 2011,X360,2011.0,Racing,0.11,0.5,0.01,0.09,84.0,7.1,E
Mobile Suit Gundam: Encounters in Space,PS2,2003.0,Simulation,0.05,0.04,0.61,0.01,66.0,8.5,T
MLB 10: The Show,PS3,2010.0,Sports,0.66,0.0,0.0,0.06,91.0,8.3,E
MX vs. ATV Reflex,X360,2009.0,Racing,0.52,0.14,0.0,0.06,75.0,6.6,E
Blur,PS3,2010.0,Racing,0.22,0.36,0.02,0.12,81.0,8.2,E10+
Avatar: The Game,Wii,2009.0,Action,0.32,0.32,0.0,0.07,,,
Fear Effect,PS,1998.0,Action,0.4,0.27,0.0,0.05,,,
Battlefield: Bad Company 2,PC,2010.0,Shooter,0.19,0.53,0.0,0.0,87.0,8.3,M
DiRT 3,X360,2011.0,Racing,0.23,0.4,0.01,0.08,87.0,7.1,T
The Lord of the Rings: The Two Towers,XB,2002.0,Action,0.45,0.24,0.0,0.03,79.0,8.1,T
Madden NFL 2003,XB,2002.0,Sports,0.67,0.02,0.0,0.03,92.0,8.3,E
Skate,X360,2007.0,Sports,0.62,0.03,0.0,0.06,86.0,8.4,T
iCarly,DS,2009.0,Adventure,0.66,0.01,0.0,0.05,,8.3,E
XCOM: Enemy Unknown,PC,2012.0,Strategy,0.27,0.36,0.0,0.08,89.0,8.2,M
Ben 10: Protector of Earth,PSP,2007.0,Action,0.23,0.3,0.0,0.18,60.0,7.2,E10+
Virtua Fighter 4: Evolution,PS2,2003.0,Fighting,0.35,0.27,0.0,0.09,93.0,9,T
Crysis,PC,2007.0,Shooter,0.0,0.69,0.0,0.02,91.0,8,M
Resident Evil: Survivor,PS,2000.0,Action,0.23,0.15,0.29,0.05,39.0,7,M
The Sims 2: Castaway,DS,2007.0,Simulation,0.62,0.04,0.0,0.06,66.0,4,E
Super Trucks Racing,PS2,2002.0,Racing,0.35,0.27,0.0,0.09,66.0,tbd,E
Godzilla: Destroy All Monsters Melee,GC,2002.0,Fighting,0.55,0.14,0.0,0.02,73.0,7.8,T
Jeremy McGrath Supercross 2000,PS,2000.0,Racing,0.4,0.27,0.0,0.05,43.0,tbd,E
Conker: Live And Reloaded,XB,2005.0,Adventure,0.49,0.2,0.0,0.02,,,
Silent Hill 3,PS2,2003.0,Action,0.35,0.27,0.0,0.09,85.0,8.8,M
Yu-Gi-Oh! The Falsebound Kingdom,GC,2002.0,Strategy,0.49,0.13,0.07,0.02,,,
Spyro: Enter the Dragonfly,GC,2002.0,Platform,0.55,0.14,0.0,0.02,48.0,5.1,E
Scooby-Doo 2: Monsters Unleashed,GBA,2004.0,Action,0.51,0.19,0.0,0.01,46.0,tbd,E
Power Rangers: Dino Thunder,PS2,2004.0,Action,0.35,0.27,0.0,0.09,49.0,6.2,E
Madden NFL 08,PSP,2007.0,Sports,0.6,0.04,0.0,0.07,75.0,6.8,E
Blast Corps,N64,1997.0,Action,0.39,0.09,0.17,0.06,,,
LEGO Racers,N64,1999.0,Racing,0.51,0.18,0.0,0.01,,,
WWF Attitude,N64,1999.0,Fighting,0.57,0.13,0.0,0.01,,,
Tactics Ogre: Let Us Cling Together,SNES,1995.0,Role-Playing,0.0,0.0,0.71,0.0,,,
Madden NFL 09,PSP,2008.0,Sports,0.65,0.0,0.0,0.06,68.0,6.5,E
"WarioWare, Inc.: Mega Party Game$",GC,2003.0,Puzzle,0.2,0.05,0.44,0.02,,,
NBA Live 09,X360,2008.0,Sports,0.5,0.14,0.0,0.07,77.0,7.4,E
Battle Arena Toshinden 2,PS,1995.0,Fighting,0.15,0.1,0.41,0.05,,,
Dragon Ball: Xenoverse 2,PS4,2016.0,Action,0.24,0.27,0.09,0.1,73.0,7.8,T
Dynasty Warriors 6,PS3,2007.0,Action,0.18,0.07,0.41,0.04,59.0,7.3,T
Jeopardy!,PS,1997.0,Misc,0.39,0.27,0.0,0.05,,,
South Park,PS,1998.0,Shooter,0.39,0.27,0.0,0.05,,,
NCAA Football 09,X360,2008.0,Sports,0.65,0.0,0.0,0.05,83.0,7.7,E
Doom 3: Resurrection of Evil,XB,2005.0,Shooter,0.53,0.15,0.0,0.03,77.0,7.9,M
SSX,X360,2012.0,Sports,0.38,0.26,0.0,0.06,82.0,6.4,E
Dragon Quest Swords: The Masked Queen and the Tower of Mirrors,Wii,2007.0,Role-Playing,0.18,0.01,0.5,0.02,65.0,5.9,T
Two Worlds,X360,2007.0,Role-Playing,0.41,0.22,0.0,0.07,50.0,5.5,M
Tony Hawk's Underground,GC,2003.0,Sports,0.54,0.14,0.0,0.02,89.0,8.5,T
Spider-Man 2,PSP,2005.0,Action,0.35,0.21,0.0,0.14,67.0,6.9,T
Super Bomberman 3,SNES,1994.0,Puzzle,0.0,0.0,0.7,0.0,,,
NCAA Football 08,X360,2007.0,Sports,0.65,0.0,0.0,0.05,81.0,7.8,E
Command & Conquer: Red Alert Retaliation,PS,1998.0,Strategy,0.39,0.27,0.0,0.05,,,
Skylanders: Trap Team,WiiU,2014.0,Action,0.38,0.26,0.0,0.06,86.0,7.1,E10+
Star Wars: Obi-Wan,XB,2001.0,Action,0.52,0.16,0.0,0.02,58.0,5.9,T
Ace Attorney Investigations: Miles Edgeworth,DS,2009.0,Adventure,0.23,0.14,0.3,0.04,78.0,8.4,T
Kill.Switch,PS2,2003.0,Shooter,0.34,0.27,0.0,0.09,73.0,8.3,T
Catherine,PS3,2011.0,Adventure,0.3,0.14,0.2,0.06,79.0,8.1,M
Madden NFL 2005,GC,2004.0,Sports,0.54,0.14,0.0,0.02,90.0,tbd,E
F-14 Tomcat,GBA,2001.0,Action,0.5,0.19,0.0,0.01,67.0,tbd,E
SplashDown,PS2,2001.0,Racing,0.34,0.27,0.0,0.09,84.0,8.2,E
NCAA Football 98,PS,1997.0,Sports,0.39,0.27,0.0,0.05,,,
Jade Empire,XB,2005.0,Role-Playing,0.48,0.19,0.0,0.03,89.0,8.6,M
Infinite Undiscovery,X360,2008.0,Role-Playing,0.34,0.18,0.12,0.06,68.0,7,T
FIFA Soccer 11,DS,2010.0,Sports,0.13,0.49,0.0,0.08,63.0,tbd,E
Chocobo's Dungeon 2,PS,1998.0,Role-Playing,0.04,0.03,0.58,0.05,,,
Call of Duty: Ghosts,PC,2013.0,Shooter,0.23,0.41,0.0,0.05,,,
Lego Star Wars: The Force Awakens,PS4,2016.0,Action,0.16,0.43,0.01,0.11,78.0,7.5,E10+
NHL 12,X360,2011.0,Sports,0.55,0.1,0.0,0.05,86.0,7,E10+
Advance Wars,GBA,2001.0,Strategy,0.5,0.19,0.0,0.01,92.0,9,E
NASCAR 2001,PS2,2000.0,Racing,0.34,0.27,0.0,0.09,66.0,6.6,E
NCAA Football 2001,PS,2000.0,Sports,0.39,0.26,0.0,0.05,,,
WWE SmackDown vs. Raw 2011,PSP,2010.0,Fighting,0.22,0.31,0.0,0.17,,6.7,T
Mafia,PS2,2004.0,Action,0.34,0.27,0.0,0.09,65.0,7.6,M
Hannah Montana: The Movie,DS,2009.0,Adventure,0.38,0.25,0.0,0.07,,tbd,E
Ape Escape: On the Loose,PSP,2005.0,Platform,0.52,0.0,0.12,0.05,66.0,6.4,E
Mobile Suit Gundam: Journey to Jaburo,PS2,2000.0,Simulation,0.16,0.13,0.36,0.04,58.0,8.1,T
MLB 08: The Show,PS3,2008.0,Sports,0.64,0.0,0.0,0.05,85.0,8.7,E
TimeSplitters 2,PS2,2002.0,Shooter,0.34,0.27,0.0,0.09,90.0,8.8,T
Omerta: City of Gangsters,X360,2011.0,Simulation,0.42,0.22,0.0,0.06,43.0,3.3,T
Driver: San Francisco,X360,2011.0,Racing,0.25,0.37,0.0,0.07,80.0,7.6,T
Classic NES Series: Zelda II: The Adventure of Link,GBA,2004.0,Adventure,0.37,0.14,0.17,0.01,73.0,7.5,E
Fire Emblem: Monsh? no Nazo,SNES,1994.0,Role-Playing,0.0,0.0,0.7,0.0,,,
Disney's Chicken Little,GBA,2005.0,Platform,0.5,0.18,0.0,0.01,71.0,tbd,E
James Bond 007: Blood Stone,PS3,2010.0,Shooter,0.18,0.36,0.02,0.13,65.0,7.4,T
King Kong,2600,1981.0,Action,0.65,0.04,0.0,0.01,,,
Minecraft: Story Mode,PS4,2015.0,Adventure,0.25,0.33,0.0,0.11,,,
Moto Racer 2,PS,1997.0,Racing,0.39,0.26,0.0,0.05,,,
Metal Gear Solid: Portable Ops Plus,PSP,2007.0,Action,0.26,0.0,0.26,0.17,65.0,7.5,T
LEGO Rock Band,Wii,2009.0,Misc,0.41,0.22,0.0,0.06,70.0,6.8,E10+
Monster Hunter Tri,WiiU,2012.0,Role-Playing,0.24,0.19,0.22,0.04,,,
Halo 2 Multiplayer Map Pack,XB,2005.0,Shooter,0.54,0.13,0.0,0.02,89.0,7.4,M
Mortal Kombat: Shaolin Monks,PS2,2005.0,Action,0.58,0.02,0.0,0.09,77.0,8.6,M
"Transformers: Revenge of the Fallen (XBox 360, PS3, & PC Versions)",PS3,2009.0,Shooter,0.28,0.3,0.0,0.12,,,
Minecraft: Story Mode,PS3,2015.0,Adventure,0.27,0.31,0.0,0.11,,,
FIFA Soccer 13,Wii,2012.0,Action,0.18,0.44,0.0,0.07,,1.6,E
The LEGO Movie Videogame,3DS,2014.0,Action,0.28,0.31,0.05,0.05,,5.4,E10+
MotionSports,X360,2010.0,Sports,0.38,0.25,0.0,0.06,40.0,4.4,T
MX vs. ATV Unleashed: On the Edge,PSP,2006.0,Racing,0.64,0.0,0.0,0.05,68.0,8.1,E
Mario Pinball Land,GBA,2004.0,Misc,0.5,0.18,0.0,0.01,62.0,4.9,E
Mappy,NES,1984.0,Platform,0.0,0.0,0.69,0.0,,,
J-League Soccer: Prime Goal,SNES,1993.0,Sports,0.0,0.0,0.69,0.0,,,
Dragon Ball Z: Budokai,GC,2003.0,Fighting,0.53,0.14,0.0,0.02,65.0,6.3,T
NFL Xtreme,PS,1998.0,Sports,0.38,0.26,0.0,0.05,,,
Need for Speed (2015),XOne,2015.0,Racing,0.3,0.33,0.0,0.06,,,
Plants vs. Zombies: Garden Warfare,XOne,2014.0,Shooter,0.39,0.23,0.0,0.06,76.0,7.4,E10+
Need for Speed Rivals,XOne,2013.0,Racing,0.46,0.17,0.0,0.07,75.0,5.8,E10+
The Sims 2: Apartment Pets,DS,2008.0,Simulation,0.31,0.3,0.0,0.07,50.0,3.3,E
Harry Potter and the Chamber of Secrets,GC,2002.0,Action,0.53,0.14,0.0,0.02,77.0,8.3,E
Prince of Persia: The Forgotten Sands,PS3,2010.0,Action,0.19,0.36,0.01,0.12,75.0,7.6,T
X-Men Origins: Wolverine - Uncaged Edition,X360,2009.0,Action,0.42,0.21,0.0,0.06,,,
The Lord of the Rings: The Return of the King,GC,2003.0,Action,0.53,0.14,0.0,0.02,84.0,8.5,T
The Sims: Medieval,PC,2011.0,Simulation,0.28,0.32,0.0,0.09,77.0,6.1,T
LEGO Batman 2: DC Super Heroes,DS,2012.0,Action,0.39,0.24,0.0,0.06,,8,E10+
Top Spin 4,PS3,2011.0,Sports,0.17,0.39,0.0,0.13,82.0,7.7,E
Shrek the Third,X360,2007.0,Action,0.54,0.09,0.0,0.06,,,
Baldur's Gate: Dark Alliance II,PS2,2004.0,Role-Playing,0.34,0.26,0.0,0.09,78.0,8.7,T
Shark Tale,GBA,2004.0,Action,0.49,0.18,0.0,0.01,63.0,9,E
IL-2 Sturmovik: Birds of Prey,PS3,2009.0,Simulation,0.34,0.25,0.0,0.1,81.0,7.3,T
Test Drive Unlimited 2,X360,,Racing,0.3,0.31,0.0,0.07,68.0,6.4,T
Star Wars: Masters of Teras Kasi,PS,1997.0,Action,0.38,0.26,0.0,0.04,,,
World of Zoo,DS,2009.0,Simulation,0.42,0.2,0.0,0.06,,tbd,E
NBA Street Vol. 2,XB,2003.0,Sports,0.62,0.04,0.0,0.02,89.0,8.8,E
Minecraft,WiiU,2016.0,Misc,0.28,0.17,0.18,0.04,,,
MX vs. ATV Untamed,X360,2007.0,Racing,0.55,0.08,0.0,0.06,70.0,7.1,E
The Last Remnant,X360,2008.0,Role-Playing,0.25,0.2,0.18,0.06,66.0,6.9,M
NCAA Football 2005,XB,2004.0,Sports,0.63,0.02,0.0,0.03,89.0,8,E
Mortal Kombat Mythologies: Sub-Zero,PS,1997.0,Fighting,0.38,0.26,0.0,0.04,,,
The Sly Collection,PS3,2010.0,Platform,0.52,0.08,0.01,0.08,85.0,8.8,E10+
Naruto: Clash of Ninja,GC,2003.0,Fighting,0.53,0.14,0.0,0.02,72.0,8.1,T
Sniper Elite 3,PS4,2014.0,Shooter,0.24,0.34,0.0,0.11,67.0,7.1,M
Prince of Persia: The Two Thrones,PS2,2005.0,Action,0.57,0.02,0.0,0.09,85.0,8.5,M
Hot Shots Golf: Open Tee 2,PSP,2007.0,Sports,0.21,0.11,0.28,0.08,82.0,8.6,E
Mercenaries: Playground of Destruction,XB,2005.0,Action,0.54,0.11,0.0,0.03,,,
Bushido Blade 2,PS,1998.0,Fighting,0.25,0.17,0.22,0.04,,,
Suikoden II,PS,1998.0,Role-Playing,0.15,0.1,0.38,0.04,82.0,8.4,T
Iron Man,PS3,2008.0,Action,0.32,0.25,0.0,0.11,42.0,6.2,T
FIFA Soccer 06,XB,2005.0,Sports,0.29,0.38,0.0,0.01,80.0,7.5,E
Fight Night 2004,XB,2004.0,Fighting,0.51,0.15,0.0,0.02,85.0,8.7,T
Tourist Trophy: The Real Riding Simulator,PS2,2006.0,Racing,0.28,0.22,0.11,0.07,,,
.hack//Mutation Part 2,PS2,2002.0,Role-Playing,0.23,0.18,0.2,0.06,76.0,8.9,T
Wolfenstein: The New Order,XOne,2014.0,Shooter,0.34,0.28,0.0,0.06,79.0,7.8,M
Cars: Mater-National Championship,DS,2007.0,Racing,0.63,0.0,0.0,0.05,69.0,6.8,E
LEGO Harry Potter: Years 1-4,PSP,2010.0,Action,0.14,0.36,0.0,0.18,71.0,tbd,E10+
Midway Arcade Treasures 2,PS2,2004.0,Misc,0.33,0.26,0.0,0.09,74.0,tbd,M
Kirby's Dream Collection: Special Edition,Wii,2012.0,Action,0.33,0.0,0.33,0.02,82.0,8.8,E10+
Return to Castle Wolfenstein: Tides of War,XB,2003.0,Shooter,0.49,0.16,0.0,0.02,84.0,8.8,M
RIFT,PC,2011.0,Role-Playing,0.44,0.16,0.0,0.07,84.0,7.3,T
Spider-Man 3,PS3,2007.0,Platform,0.26,0.29,0.02,0.11,60.0,7,T
Street Sk8er,PS,1998.0,Sports,0.37,0.25,0.0,0.04,,,
Mass Effect,PC,2008.0,Role-Playing,0.0,0.59,0.0,0.08,89.0,8.6,M
Contra: Legacy of War,PS,1996.0,Shooter,0.37,0.25,0.0,0.04,,,
Fight Night Round 2004,XB,2004.0,Fighting,0.46,0.18,0.0,0.03,,,
Book of Spells,PS3,2012.0,Action,0.14,0.39,0.0,0.15,,,
Zaidan Houjin Nippon Kanji Nouryoko Kentei Kyoukai Kounin: KanKen DS,DS,2006.0,Misc,0.0,0.0,0.67,0.0,,,
Spice World,PS,1998.0,Action,0.37,0.25,0.0,0.04,,,
The Evil Within,XOne,2014.0,Action,0.35,0.25,0.0,0.06,79.0,7.3,M
Armored Core 3,PS2,2002.0,Simulation,0.22,0.17,0.23,0.06,74.0,9,T
Star Wars: Republic Commando,XB,2005.0,Shooter,0.48,0.17,0.0,0.02,78.0,8.9,T
Taiko no Tatsujin Wii,Wii,2008.0,Misc,0.0,0.0,0.67,0.0,,,
London 2012: The Official Video Game of the Olympic Games,PS3,2012.0,Sports,0.06,0.48,0.0,0.14,,,
The LEGO Movie Videogame,PS4,2014.0,Action,0.24,0.31,0.01,0.11,71.0,7.1,E10+
Turok,PS3,2008.0,Action,0.35,0.21,0.01,0.1,67.0,6,M
Wild ARMs 2,PS,1999.0,Role-Playing,0.19,0.13,0.31,0.04,,,
Terraria,X360,2013.0,Action,0.35,0.27,0.0,0.06,81.0,7.2,T
Red Steel,Wii,2006.0,Shooter,0.54,0.03,0.04,0.05,63.0,6.8,T
Summer Sports: Paradise Island (Others sales),Wii,2008.0,Sports,0.0,0.66,0.0,0.01,,,
Need for Speed: Shift 2 Unleashed,PS3,2011.0,Racing,0.2,0.35,0.0,0.12,,,
The Fairly Odd Parents: Breakin Da Rules,PS2,2003.0,Platform,0.33,0.25,0.0,0.09,,,
Virtua Tennis: World Tour (US & Others sales),PSP,2005.0,Sports,0.16,0.36,0.0,0.14,,,
Unreal Tournament III,PS3,2007.0,Shooter,0.33,0.23,0.0,0.1,86.0,7.7,M
Adventures of Tron,2600,1981.0,Action,0.63,0.03,0.0,0.01,,,
Fossil Fighters: Champions,DS,2010.0,Role-Playing,0.31,0.0,0.34,0.02,68.0,7.1,E
The Sims 3,DS,2010.0,Simulation,0.38,0.22,0.0,0.06,73.0,6.4,E
"The Chronicles of Narnia: The Lion, The Witch and The Wardrobe",GBA,,Action,0.48,0.18,0.0,0.01,66.0,6.8,E
